corpus,mode,n_cand,n_ctrl,gap_d,nov,welch_p,mwu_p,perm_p,d,kappa,alpha,rho,welch_p_holm
management,B,26,120,-1.2,-3.8,0.533,0.62,0.549,-0.06,0.579,0.564,0.761,1.0
management,A,6,140,-8.0,-13.3,0.258,0.177,0.278,-0.211,0.653,0.845,1.0,1.0
finance,B,24,144,12.7,12.5,0.032,0.014,0.046,0.206,0.703,0.625,0.83,0.193
finance,A,4,164,-9.3,-11.1,0.344,0.713,0.439,-0.195,0.449,0.477,0.2,1.0
gamification,B,26,146,-9.1,-8.4,0.163,0.149,0.176,-0.132,0.535,0.375,0.641,0.813
gamification,A,6,166,-3.5,4.0,0.777,0.986,0.779,0.057,0.539,0.521,0.812,1.0
