corpus,mode,n_art,n_kw,k,sil,n_cand,n_sel,n_ctrl,n_judge,gap_sel,gap_ctrl,dpp,nov_sel,nov_ctrl,nov_pct,welch_p,mwu_p,d_,kappa,alpha,rho
management,articles,50,183,6,0.0326,27,26,146,858,0.462,0.471,-1.0,3.15,3.26,-3.4,0.572,0.632,-0.053,0.579,0.564,0.761
management,keywords,50,146,6,0.0515,6,6,146,758,0.4,0.471,-7.1,2.87,3.26,-12.2,0.306,0.211,-0.191,0.653,0.845,1.0
finance,articles,50,191,6,0.055,27,24,168,957,0.647,0.543,10.4,4.03,3.71,8.6,0.121,0.066,0.146,0.703,0.625,0.83
finance,keywords,50,168,6,0.051,4,4,168,858,0.45,0.543,-9.3,3.3,3.71,-10.9,0.351,0.708,-0.193,0.449,0.477,0.2
gamification,articles,50,200,6,0.0173,28,26,172,990,0.354,0.437,-8.3,2.8,3.03,-7.5,0.21,0.178,-0.117,0.535,0.375,0.641
gamification,keywords,50,172,8,0.0694,6,6,172,890,0.4,0.437,-3.7,3.13,3.03,3.5,0.801,0.962,0.05,0.539,0.521,0.812
