corpus,mode,n_seeds,mean_pairwise_jaccard,min_pairwise_jaccard,max_pairwise_jaccard,mean_n_gaps
management,articles_first,5,0.44115316932390103,0.29545454545454547,0.5555555555555556,30.2
management,keywords_first,5,0.14007936507936508,0.0,0.3333333333333333,4.4
finance,articles_first,5,0.38157410591621116,0.3157894736842105,0.5428571428571428,25.6
finance,keywords_first,5,0.15119047619047618,0.0,0.375,4.4
gamification,articles_first,5,0.3157635724535479,0.23684210526315788,0.41379310344827586,23.8
gamification,keywords_first,5,0.18965007215007215,0.1,0.4,5.0
