,C0,C1,C2,C3,C4,C5
C0,0.9999999999999988,0.6331836958622816,0.6349511928963634,0.467510335724662,0.7344400096726548,0.5206832813780865
C1,0.6331836958622816,1.0,0.7401685029119109,0.6122413098793799,0.7671720129418096,0.5615797181500622
C2,0.6349511928963634,0.7401685029119109,1.0000000000000009,0.594022814340262,0.6699120080651213,0.5758437196839851
C3,0.467510335724662,0.6122413098793799,0.594022814340262,0.9999999999999993,0.5962857796851945,0.7109611655850233
C4,0.7344400096726548,0.7671720129418096,0.6699120080651213,0.5962857796851945,1.0000000000000009,0.6671809858713651
C5,0.5206832813780865,0.5615797181500622,0.5758437196839851,0.7109611655850233,0.6671809858713651,1.0000000000000007
