,C0,C1,C2,C3,C4,C5
C0,1.0000000000000002,0.8135231690996603,0.7918844654016401,0.8443767877866574,0.7476312554435334,0.8286939987378144
C1,0.8135231690996603,0.9999999999999996,0.8817754605006496,0.922518490909026,0.8835589775189465,0.9013390950434553
C2,0.7918844654016401,0.8817754605006496,0.9999999999999996,0.8529261290530055,0.832083875239447,0.8768483151023645
C3,0.8443767877866574,0.922518490909026,0.8529261290530055,0.9999999999999993,0.8649645918959962,0.8992660551476961
C4,0.7476312554435334,0.8835589775189465,0.832083875239447,0.8649645918959962,0.9999999999999998,0.8133998337828807
C5,0.8286939987378144,0.9013390950434553,0.8768483151023645,0.8992660551476961,0.8133998337828807,0.9999999999999996
