gap_type,keyword,n_runs_found,n_seeds_found,n_sizes_found,mean_score,min_score,max_score,mean_frequency,cluster_labels,support
Conceptual Combination,commercial banks x financial technology,2,2,1,0.4501665228448831,0.4501665228448831,0.4501665228448831,4.0,Credit risk & Bank FinTech | Credit risk & China,0.4
Emerging Concept,south asia,1,1,1,0.7700000345845694,0.7700000345845694,0.7700000345845694,1.0,Panel data & Alternative information,0.2
Conceptual Combination,credit risk x financial inclusion,1,1,1,0.7117009979166558,0.7117009979166558,0.7117009979166558,10.0,Credit risk & Financial technology,0.2
Emerging Concept,financial sustainability,1,1,1,0.7039207090853921,0.7039207090853921,0.7039207090853921,1.0,Financial technology & financial innovation,0.2
Emerging Concept,financial technology,1,1,1,0.7,0.7,0.7,1.0,Alternative data Sources & credit scoring,0.2
Conceptual Combination,financial inclusion x credit risk,1,1,1,0.6817009979166557,0.6817009979166557,0.6817009979166557,9.0,Credit risk & alternative credit,0.2
Emerging Concept,entrepreneurial risk,1,1,1,0.6749772025099153,0.6749772025099153,0.6749772025099153,1.0,Income inequality & Financial technology,0.2
Emerging Concept,risky behaviour,1,1,1,0.6487191003235202,0.6487191003235202,0.6487191003235202,1.0,Credit risk & Financial technology,0.2
Emerging Concept,income inequality,1,1,1,0.6486446017429738,0.6486446017429738,0.6486446017429738,1.0,Alternative credit & Bigtech credit,0.2
Conceptual Combination,credit risk x fintech credit,1,1,1,0.6420377078669098,0.6420377078669098,0.6420377078669098,7.0,Credit risk & Financial technology,0.2
Emerging Concept,rural bank,1,1,1,0.6378657588394112,0.6378657588394112,0.6378657588394112,1.0,Credit risk & China,0.2
Conceptual Combination,commercial banks x financial inclusion,1,1,1,0.6354584834575043,0.6354584834575043,0.6354584834575043,7.0,Credit risk & Financial technology,0.2
Emerging Concept,brics economies,1,1,1,0.6032087262543275,0.6032087262543275,0.6032087262543275,1.0,Financial technology & Bank performance,0.2
Emerging Concept,non-financial firms,1,1,1,0.5885169837491728,0.5885169837491728,0.5885169837491728,1.0,Credit risk & Bank FinTech,0.2
Emerging Concept,peer-to-peer lending,1,1,1,0.5604318393426925,0.5604318393426925,0.5604318393426925,1.0,Credit risk & Digitalization,0.2
Emerging Concept,social responsibilities,1,1,1,0.5551927056804757,0.5551927056804757,0.5551927056804757,1.0,Alternative information & Digital inclusion,0.2
Conceptual Combination,credit risk x p2p lending,1,1,1,0.5528758888367574,0.5528758888367574,0.5528758888367574,5.0,Credit risk & alternative credit,0.2
Conceptual Combination,alternative credit x credit risk,1,1,1,0.5332431911864449,0.5332431911864449,0.5332431911864449,5.0,Credit risk & alternative credit,0.2
Emerging Concept,public policy,1,1,1,0.5107796812366217,0.5107796812366217,0.5107796812366217,1.0,Alternative information & Digital inclusion,0.2
Conceptual Combination,commercial banks x financial constraints,1,1,1,0.46464321195416464,0.46464321195416464,0.46464321195416464,4.0,China & Commercial banks,0.2
Conceptual Combination,credit risk x financial technology,1,1,1,0.44449551748443694,0.44449551748443694,0.44449551748443694,4.0,Credit risk & Financial technology,0.2
Emerging Concept,credit scoring,1,1,1,0.3,0.3,0.3,1.0,Alternative data Sources & credit scoring,0.2
