gap_type,keyword,keyword_display,cluster,cluster_label,score,frequency,n_articles,citations,rationale,article_titles,article_dois,metric_distance_from_centroid,metric_cluster_threshold,metric_centrality,metric_tfidf,metric_citations
Peripheral Keyword,account ownership,Account ownership,1,Alternative credit & Bigtech credit,0.550055776382103,1,1,51.0,distance 0.5501 exceeds the cluster-1 p95 threshold 0.5124; frequency=1,Has financial inclusion made the financial sector riskier?,10.1108/JFRC-08-2020-0074,0.550055776382103,0.5123804576149628,0.5531460811628005,0.0020072232246325468,51.0
Peripheral Keyword,social responsibilities,Social responsibilities,4,Credit risk & Bank credit risk,0.4899835996796744,1,1,19.0,distance 0.4900 exceeds the cluster-4 p95 threshold 0.4887; frequency=1,Digital Inclusion and Financial Inclusion: Evidence from Peer-to-Peer Lending,10.1007/s10551-024-05689-w,0.4899835996796744,0.4886575456317839,0.5621745500823818,0.002792246646982176,19.0
Peripheral Keyword,digital inclusion,Digital inclusion,2,Bank FinTech & Fintech credit,0.42708799420144106,1,1,19.0,distance 0.4271 exceeds the cluster-2 p95 threshold 0.3983; frequency=1,Digital Inclusion and Financial Inclusion: Evidence from Peer-to-Peer Lending,10.1007/s10551-024-05689-w,0.42708799420144106,0.3982909043116323,0.4809732307086573,0.002792246646982176,19.0
Peripheral Keyword,digital economy,Digital economy,2,Bank FinTech & Fintech credit,0.41437417383355224,1,1,4.0,distance 0.4144 exceeds the cluster-2 p95 threshold 0.3983; frequency=1,How Does Fintech Affect the Development of the Digital Economy? Evidence from India,10.1007/s13132-024-02547-y,0.41437417383355224,0.3982909043116323,0.44080552891456337,0.0037652643216191228,4.0
