article_cluster,keyword,frequency,n_tokens,subcluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
2,digital transformation (dt),1,3,1,0.21279325527266946,0.3487087889503443,0.06494355948868537,2,False,Digitalization & Microfoundations
2,mixed method,1,2,0,0.25838065412081535,0.414919213395049,0.0022091347515356633,1,False,Digitalization & Microfoundations
2,multiple case study,1,3,0,0.2756156639462536,0.5029338929404565,0.0022091347515356633,1,False,Digitalization & Microfoundations
2,new product development (npd),1,4,2,0.40377157322066215,0.43893346520316456,0.006033889940639775,1,False,Digitalization & Microfoundations
2,sequential explanatory approach,1,3,0,0.3171945532929483,0.43578123750467457,0.0022091347515356633,1,False,Digitalization & Microfoundations
2,structural equation model,1,3,0,0.4441124107240795,0.5360198168072117,0.0022091347515356633,1,False,Digitalization & Microfoundations
2,dynamic capability,3,2,2,0.28176745732280917,0.3911469976668157,0.019790523260593183,6,False,Digitalization & Microfoundations
2,emerging technologies,1,2,1,0.30449959310363817,0.3596674605971397,0.005074152515544022,1,False,Digitalization & Microfoundations
2,iiot,1,1,4,0.38035365469908977,0.4898329827426239,0.005074152515544022,1,False,Digitalization & Microfoundations
2,design science research,1,3,0,0.2747529893448938,0.36361036861915785,0.0036437911114602286,1,False,Digitalization & Microfoundations
2,information system strategy,1,3,2,0.425493007930432,0.4485950333343207,0.0036437911114602286,1,False,Digitalization & Microfoundations
2,innovation,2,1,1,0.3359550663837373,0.37067888397349735,0.02959974305140611,5,False,Digitalization & Microfoundations
2,qualitative research,1,2,0,0.23740740471025057,0.49550011442753183,0.00367974573235731,1,False,Digitalization & Microfoundations
2,routines,1,1,2,0.4571740740778927,0.5743930244322761,0.00367974573235731,1,False,Digitalization & Microfoundations
2,technology,1,1,1,0.32664609637444353,0.3986273034005767,0.01374362246227748,1,False,Digitalization & Microfoundations
2,micro-foundations,1,1,3,0.18368877233647218,0.4499804285350989,0.007442968541341317,2,False,Digitalization & Microfoundations
2,supply chain management,1,3,4,0.4165529852915879,0.48681890049449106,0.004508672292140478,1,False,Digitalization & Microfoundations
2,conceptual framework,1,2,3,0.34669122637921046,0.4852404727607307,0.004631733851228498,1,False,Digitalization & Microfoundations
2,organizational capabilities,1,2,3,0.28982951865256834,0.4099315372653489,0.005827331366433628,2,False,Digitalization & Microfoundations
2,design capabilities,1,2,2,0.2971598784100248,0.3824512581258246,0.003462127503133707,1,False,Digitalization & Microfoundations
2,design thinking,1,2,0,0.3961362799793944,0.35653473789349055,0.003462127503133707,1,False,Digitalization & Microfoundations
2,digital technologies,1,2,1,0.1574563910679413,0.3234538005734888,0.003462127503133707,1,False,Digitalization & Microfoundations
2,customer value creation,1,3,2,0.42275757233685707,0.4585525346696696,0.0033688488579400296,1,False,Digitalization & Microfoundations
2,made in italy,1,3,4,0.4850933146271481,0.634622438244862,0.0033688488579400296,1,False,Digitalization & Microfoundations
