,C0,C1,C2,C3,C4,C5
C0,0.9999999999999987,0.7318630881208393,0.7523404944711516,0.6583605430889083,0.7529721959800668,0.6038904120167963
C1,0.7318630881208393,1.0,0.6196342827594715,0.6183352216024053,0.856507239711539,0.6111107264747528
C2,0.7523404944711516,0.6196342827594715,1.0000000000000018,0.4860775429639163,0.6846452224795452,0.49854493823475854
C3,0.6583605430889083,0.6183352216024053,0.4860775429639163,0.999999999999999,0.6189695060555772,0.5421953161427685
C4,0.7529721959800668,0.856507239711539,0.6846452224795452,0.6189695060555772,0.9999999999999989,0.6672283239780069
C5,0.6038904120167963,0.6111107264747528,0.49854493823475854,0.5421953161427685,0.6672283239780069,1.0000000000000002
