keyword,frequency,n_tokens,cluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
service business,1,2,3,0.3122080283336972,0.4731837871265574,0.003598166013157925,1,False,Social commerce & Retailing
technology in business,1,3,3,0.45006609194129144,0.5592657050550534,0.003598166013157925,1,False,Social commerce & Retailing
co-creation,1,1,4,0.4027820617623533,0.39786668151094773,0.007781405697009607,1,False,Customer engagement & Consumer–brand engagement
protection motivation,1,2,6,0.34852483181101357,0.5629368198508969,0.003737121901195356,1,False,Elemental tetrad model & Hedonic motivation
psychological fear,1,2,6,0.4583414121895246,0.6972774102953463,0.003737121901195356,1,False,Elemental tetrad model & Hedonic motivation
attitude,1,1,5,0.39931182626099115,0.4952193607134391,0.017578710636371914,1,False,USE model & Value
behavioral intention,1,2,6,0.28332662833923683,0.44736319861334517,0.003574449946570456,1,False,Elemental tetrad model & Hedonic motivation
game element,1,2,1,0.35403532380002,0.5261518479220602,0.003574449946570456,1,False,Gamification in marketing & gamification marketing
perceived playfulness,1,2,6,0.4340760835655977,0.49319341407319106,0.003574449946570456,1,False,Elemental tetrad model & Hedonic motivation
ant forest,1,2,5,0.5337763216443785,0.6449218917121662,0.003957381714133421,1,False,USE model & Value
consumer-brand engagement,1,2,4,0.1346038422646194,0.30241582961030367,0.003957381714133421,1,False,Customer engagement & Consumer–brand engagement
consumer motivation,1,2,7,0.28567575623407726,0.3838721215697626,0.002297932575681006,1,False,Customer buying intentions & consumer experience
crowdsourcing,1,1,0,0.4811635031825684,0.5015894409656578,0.002297932575681006,1,False,POPMART & Community
customer value creation,1,3,7,0.3641397124075687,0.4457104423078907,0.002297932575681006,1,False,Customer buying intentions & consumer experience
online users,1,2,0,0.45573322826080176,0.49216495732842014,0.002297932575681006,1,False,POPMART & Community
sharing economy,1,2,3,0.3921630548036411,0.4793398474491709,0.002297932575681006,1,False,Social commerce & Retailing
behaviour maintenance,1,2,6,0.3972493744390104,0.5385374039995159,0.0035808081550835454,1,False,Elemental tetrad model & Hedonic motivation
intrinsic motivation,1,2,6,0.32697765359584174,0.5562983230938876,0.0035808081550835454,1,False,Elemental tetrad model & Hedonic motivation
self-determination theory,3,2,6,0.343359828629086,0.6215488217145273,0.008093497677832646,3,False,Elemental tetrad model & Hedonic motivation
social marketing,1,2,0,0.3636900110231659,0.39570244158281587,0.0035808081550835454,1,False,POPMART & Community
customer benefits,1,2,7,0.34796205328728314,0.4471970980309815,0.004931499323010189,1,False,Customer buying intentions & consumer experience
customer characteristics,1,2,7,0.33241697107487855,0.47357953559718946,0.004931499323010189,1,False,Customer buying intentions & consumer experience
loyalty,1,1,5,0.44883232264297246,0.5285779613423051,0.016995206297268736,1,False,USE model & Value
meta-analysis,1,1,5,0.513541639567205,0.6165661629732297,0.00465403121884096,1,False,USE model & Value
educational technology,1,2,0,0.5186752439312268,0.5823483567571479,0.0038123520314961618,1,False,POPMART & Community
instructional strategy,1,2,6,0.5143948213891975,0.5835228111533514,0.0038123520314961618,1,False,Elemental tetrad model & Hedonic motivation
self-efficacy,1,1,6,0.41275776483252424,0.5805903757396627,0.0038123520314961618,1,False,Elemental tetrad model & Hedonic motivation
student engagement,1,2,4,0.2718522294033521,0.4409782051943848,0.0038123520314961618,1,False,Customer engagement & Consumer–brand engagement
digital experience,1,2,0,0.3186656225665008,0.3214891765753064,0.0047735004492718645,1,False,POPMART & Community
e-commerce,1,1,3,0.22901765865971146,0.422302998680688,0.007102945321601846,1,False,Social commerce & Retailing
