,C0,C1,C2,C3,C4,C5,C6,C7
C0,1.0000000000000002,0.564903081458424,0.6398222076558663,0.746676586640639,0.65201377197761,0.7069097910495926,0.5340939909311752,0.6732132022577433
C1,0.564903081458424,0.9999999999999999,0.3899207858076327,0.41876924502736673,0.5300440690772247,0.5124919728698774,0.48003626104714014,0.44141832693986205
C2,0.6398222076558663,0.3899207858076327,1.0000000000000002,0.553946369162317,0.6348532730089402,0.5714046296008976,0.46529070399189754,0.6738905697023719
C3,0.746676586640639,0.41876924502736673,0.553946369162317,1.0,0.5414933335797124,0.5811270401712902,0.37504930837549993,0.6800668023073383
C4,0.65201377197761,0.5300440690772247,0.6348532730089402,0.5414933335797124,0.9999999999999996,0.5621173484850325,0.5817572927192003,0.7159201517309182
C5,0.7069097910495926,0.5124919728698774,0.5714046296008976,0.5811270401712902,0.5621173484850325,0.9999999999999999,0.6833179012588878,0.6084206015048775
C6,0.5340939909311752,0.48003626104714014,0.46529070399189754,0.37504930837549993,0.5817572927192003,0.6833179012588878,0.9999999999999998,0.6243704427679329
C7,0.6732132022577433,0.44141832693986205,0.6738905697023719,0.6800668023073383,0.7159201517309182,0.6084206015048775,0.6243704427679329,1.0000000000000002
