,C0,C1,C2,C3,C4,C5
C0,1.0000000000000004,0.856917493818794,0.8701124377078335,0.928433775775902,0.850118754889784,0.8549394180722132
C1,0.856917493818794,0.9999999999999988,0.8360450363203065,0.9020323882461151,0.8847871833140545,0.8694556924155399
C2,0.8701124377078335,0.8360450363203065,1.0000000000000007,0.9055574244964277,0.8349513632072183,0.8414694351055021
C3,0.928433775775902,0.9020323882461151,0.9055574244964277,0.9999999999999988,0.8776566214251895,0.9301683898701105
C4,0.850118754889784,0.8847871833140545,0.8349513632072183,0.8776566214251895,0.9999999999999998,0.8301045088105499
C5,0.8549394180722132,0.8694556924155399,0.8414694351055021,0.9301683898701105,0.8301045088105499,0.9999999999999991
