article_cluster,keyword,frequency,n_tokens,subcluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
0,branded app,1,2,1,0.33972031915045764,0.37596943418392414,0.0032320848985656746,1,False,Mobile apps & Branded app
0,consumer–brand engagement,1,2,0,0.17521284697568162,0.34766854529394386,0.05275027105204532,1,False,Mobile apps & Branded app
0,elemental tetrad model,1,3,3,0.45813357304132285,0.6572858267011727,0.0032320848985656746,1,False,Mobile apps & Branded app
0,gamification,7,1,2,0.18376230591920928,0.43330082424425886,0.04567735013925583,40,True,Mobile apps & Branded app
0,marketing effectiveness,1,2,4,0.321019774681115,0.4173647973165915,0.0032320848985656746,1,False,Mobile apps & Branded app
0,aesthetics,1,1,2,0.4659580407294257,0.5703587507264186,0.0032646053031711447,1,False,Mobile apps & Branded app
0,game design,1,2,2,0.23793438989677318,0.45800133430306333,0.0032646053031711447,1,False,Mobile apps & Branded app
0,gaming,1,1,2,0.2331306960125965,0.435337762875851,0.0032646053031711447,1,False,Mobile apps & Branded app
0,mechanics,1,1,3,0.4894426887828449,0.5645027628739318,0.0032646053031711447,1,False,Mobile apps & Branded app
0,mobile,1,1,1,0.23222574775166027,0.42685994081434964,0.017626886996208832,1,False,Mobile apps & Branded app
0,retailing,1,1,4,0.4143198651391945,0.5141528741838095,0.006843237172667165,1,False,Mobile apps & Branded app
0,story,1,1,1,0.4703201012663344,0.53308438734679,0.0032646053031711447,1,False,Mobile apps & Branded app
0,technology,1,1,1,0.3578172052854003,0.44872870531077724,0.014099114421386998,1,False,Mobile apps & Branded app
0,consumer engagement,1,2,0,0.09716037909166153,0.3243792263105916,0.006593525777825512,2,False,Mobile apps & Branded app
0,intention,1,1,4,0.4746286314520092,0.47916851058884147,0.01082178127460419,1,False,Mobile apps & Branded app
0,mobile apps,2,2,1,0.21185266498765765,0.35573758183122317,0.011365809129584644,3,False,Mobile apps & Branded app
0,sem,1,1,1,0.4833251778655464,0.5492107214678286,0.004023361096971459,1,False,Mobile apps & Branded app
0,smartphone,1,1,1,0.2983743557416625,0.46631118630960755,0.004023361096971459,1,False,Mobile apps & Branded app
0,app experience,1,2,1,0.2671419614685384,0.3663983721354547,0.005126793671678998,1,False,Mobile apps & Branded app
0,application,1,1,1,0.31647327035538386,0.44503526756413003,0.004756459591518746,1,False,Mobile apps & Branded app
0,brand,1,1,4,0.3145744045525578,0.4294993023769095,0.05275027105204532,2,False,Mobile apps & Branded app
0,brand app,1,2,4,0.23912502546319203,0.3414011886413786,0.002378229795759373,1,False,Mobile apps & Branded app
0,brand application,1,2,4,0.2462276948307508,0.36174913159366684,0.002378229795759373,1,False,Mobile apps & Branded app
0,consumer brand satisfaction,1,3,0,0.25329501056895887,0.41704189447018414,0.002378229795759373,1,False,Mobile apps & Branded app
0,marketing,1,1,4,0.23531717511002936,0.34769454621810914,0.04164016956319825,8,False,Mobile apps & Branded app
0,marketing strategy,1,2,4,0.23138848075659102,0.3675436402934771,0.002378229795759373,1,False,Mobile apps & Branded app
0,mobile communication,1,2,1,0.3601538431729626,0.492737106692251,0.002378229795759373,1,False,Mobile apps & Branded app
0,self-system model of motivational development,1,5,3,0.32763390348362265,0.6259300130896832,0.003339855664013261,1,False,Mobile apps & Branded app
0,user engagement,1,2,0,0.1863486189863921,0.3041373272451917,0.003339855664013261,1,False,Mobile apps & Branded app
0,customer satisfaction,1,2,0,0.2341990032473773,0.4105661602010977,0.0033162101862802247,1,False,Mobile apps & Branded app
0,gamified mobile apps,1,3,2,0.25857114532494396,0.4534282440198193,0.0033162101862802247,1,False,Mobile apps & Branded app
0,purchase intentions,1,2,4,0.3423974686892691,0.4197494518034536,0.0033162101862802247,1,False,Mobile apps & Branded app
0,sustainability behavior,1,2,3,0.38400477631733065,0.4972111939961543,0.0033162101862802247,1,False,Mobile apps & Branded app
0,wom,1,1,1,0.4519971415516867,0.5574595593843695,0.0033162101862802247,1,False,Mobile apps & Branded app
0,behaviour maintenance,1,2,3,0.3204374132263521,0.5174825154650302,0.0035808081550835454,1,False,Mobile apps & Branded app
0,intrinsic motivation,1,2,3,0.2982646302450863,0.5504967556895813,0.0035808081550835454,1,False,Mobile apps & Branded app
