gap_type,keyword,keyword_display,cluster,cluster_label,score,frequency,n_articles,citations,rationale,article_titles,article_dois,metric_distance_from_centroid,metric_cluster_threshold,metric_centrality,metric_tfidf,metric_citations
Peripheral Keyword,time poverty,Time poverty,5,USE model & Value,0.5935756379996343,1,1,6.0,distance 0.5936 exceeds the cluster-5 p95 threshold 0.5538; frequency=1,How Does Gamification Improve Purchase Intention? Through the Lens of Perceived Brand Coolness and Time Poverty,10.3390/bs14121226,0.5935756379996343,0.5538393465792733,0.6170421681475498,0.0031771567761825228,6.0
Peripheral Keyword,instructional strategy,Instructional strategy,6,Elemental tetrad model & Hedonic motivation,0.5143948213891975,1,1,30.0,distance 0.5144 exceeds the cluster-6 p95 threshold 0.5144; frequency=1,Gamification using a choose-your-own-adventure type platform to augment learning and facilitate student engagement in marketing education,nan,0.5143948213891975,0.5143948213891975,0.5835228111533514,0.0038123520314961618,30.0
Peripheral Keyword,user participation,User participation,4,Customer engagement & Consumer–brand engagement,0.4028139246678535,1,1,2.0,distance 0.4028 exceeds the cluster-4 p95 threshold 0.4028; frequency=1,The role of user participation and psychological distance in consumer brand attitudes in gamified marketing,10.1038/s41598-024-84268-5,0.4028139246678535,0.40279162063400337,0.4185383247537805,0.002804098975820524,2.0
Peripheral Keyword,marketing effectiveness,Marketing effectiveness,7,Customer buying intentions & consumer experience,0.4027102547267941,1,1,29.0,distance 0.4027 exceeds the cluster-7 p95 threshold 0.3988; frequency=1,How gamified branded applications drive marketing effectiveness?,10.1108/MIP-09-2020-0407,0.4027102547267941,0.3987942549447737,0.40254880763213974,0.0032320848985656746,29.0
Peripheral Keyword,impulse buying,Impulse buying,7,Customer buying intentions & consumer experience,0.39899959731588763,1,1,14.0,distance 0.3990 exceeds the cluster-7 p95 threshold 0.3988; frequency=1,It’s not all fun and games: gamification in e-commerce on consumers’ impulse buying of retail food products,10.1108/BFJ-04-2024-0361,0.39899959731588763,0.3987942549447737,0.4663771638588663,0.003080771822909292,14.0
Peripheral Keyword,game elements,Game elements,1,Gamification in marketing & gamification marketing,0.36405473810077393,1,1,5.0,distance 0.3641 exceeds the cluster-1 p95 threshold 0.3588; frequency=1,EMPIRICAL STUDY ON GAMIFICATION EFFECT ON BRAND ENGAGEMENT,10.51847/sAorvxedSs,0.36405473810077393,0.3587503031023259,0.5328054804625619,0.0030641998720734942,5.0
